ID_REF,GSM3446059,GSM3446060,GSM3446061,GSM3446062,GSM3446063,GSM3446064,GSM3446065,GSM3446066,GSM3446067,GSM3446068,GSM3446069,GSM3446070
A_19_P00315452,0.068255428,0.250468035,0.075606118,0.059600019,0.228903591,0.434418215,0.047159018,0.041769162,0.058372647,0.03827127,0.04350895,0.061204562
A_19_P00315492,0.078552429,0.286209507,0.1337872,0.067798318,0.455936085,0.589218977,0.052498732,0.046346709,0.100493006,0.092618538,0.086835574,0.068153984
A_19_P00315493,0.487132654,0.312093864,0.352621635,0.491010711,0.670485413,0.399390355,0.604479002,0.944051736,0.634258978,0.452790753,0.881912812,1.013573468
A_19_P00315502,0.053777407,0.220674021,0.065777309,0.052026447,0.158164014,0.420666401,0.041291728,0.036766804,0.051324931,0.084213247,0.092358401,0.053471598
A_19_P00315506,1.423254736,4.13824712,1.343869921,2.248130058,2.907940197,5.696179067,1.35935305,0.814102503,1.717722635,1.341351608,1.6132212,1.76121642
A_19_P00315518,0.06412979,0.265215666,0.27684466,0.062104301,0.18895073,0.451422928,0.048619336,0.104046346,0.129506606,0.067230934,0.060192853,0.062309601
A_19_P00315519,0.064849012,0.267445475,0.078954461,0.062430092,0.1904735,0.452901022,0.0687723,0.044160386,0.061601359,0.039562407,0.045260166,0.063624534
A_19_P00315529,0.066986236,0.273492675,0.080998781,0.063599305,0.197981015,0.460044333,0.05417979,0.047750512,0.066377909,0.04289522,0.049350086,0.111637552
A_19_P00315541,0.062681417,0.42594758,0.098045926,0.057073755,0.179089133,0.419790988,0.081938637,0.040560192,0.056740198,0.03693667,0.083751236,0.080849328
A_19_P00315543,0.081614709,0.286915099,0.086680243,0.068854975,0.206742013,0.496166522,0.105597084,0.047978438,0.06753516,0.100854768,0.048961331,0.1205124
A_19_P00315551,0.166991121,0.515144166,0.250020657,0.101600704,0.485649304,1.951662108,0.06664989,0.275943001,0.274617125,0.05612601,0.184691733,0.177145117
A_19_P00315581,6.020796684,3.080654946,4.349833562,5.859003858,3.216474163,2.59520805,10.77435201,9.444836354,4.949237244,11.2993768,7.548560758,7.199963536
A_19_P00315584,0.078935676,0.272485242,0.081547434,0.277099421,0.198324855,0.457812957,0.247722995,0.319766697,0.251673043,0.083386197,0.202650059,0.202208283
A_19_P00315593,0.067246333,0.279415624,0.083108947,0.066107547,0.20044537,0.477092033,0.049199699,0.043758449,0.06125494,0.094498288,0.06199742,0.081398014
A_19_P00315603,5.050199569,9.119045349,6.154915285,5.289957017,6.77218601,5.5217792,3.929706322,6.720375287,7.75717635,4.036321242,8.103757483,5.562240017
A_19_P00315625,0.082852739,0.290201363,0.086072543,0.136625758,0.22110916,0.489025635,0.050727434,0.105847096,0.076080493,0.041656536,0.047388211,0.067099378
A_19_P00315627,1.462058259,4.551861622,2.629519508,1.540745033,2.962830513,4.071346471,1.17930936,1.648598446,2.515721467,0.708733412,1.946263033,1.736025693
A_19_P00315631,0.091178242,0.299291,0.092494686,0.1078604,0.181055449,0.430150077,0.113619267,0.04234917,0.077516498,0.03846833,0.068330263,0.089122987
A_19_P00315641,0.053047505,0.214463569,0.126187945,0.056597161,0.156797548,0.372611008,0.187317423,0.062236925,0.051356561,0.114638878,0.120959199,0.063422559
A_19_P00315647,0.062577659,0.254073286,0.086392088,0.059164537,0.185218434,0.629732006,0.114825168,0.064861788,0.061546217,0.042175571,0.045964291,0.153863475
A_19_P00315649,0.461182892,0.269487993,0.287282357,0.701068345,0.901624173,1.414646216,0.513922528,0.789623017,0.535874474,0.282979706,0.599664328,0.265959283
A_19_P00315668,0.302030887,0.262685378,0.498076621,0.355444077,0.492115445,0.657947329,0.849418167,0.555439584,0.443332428,0.871532688,0.467969432,0.419499443
A_19_P00315691,0.081127048,0.213349983,0.138791296,0.271587766,0.366520348,0.439273478,0.153040108,0.057825194,0.148494315,0.146675692,0.133068684,0.211084273
A_19_P00315705,0.28142067,0.560420098,0.144316034,0.247876258,0.617974002,1.067252217,0.722799894,0.536882692,0.891334134,0.427918602,0.565719482,0.936474788
A_19_P00315716,0.58794194,4.716782248,1.50512155,0.776106456,3.558240192,7.760092234,0.919454131,1.003784969,1.488696333,0.509263089,0.912489802,1.030274203
A_19_P00315725,0.082098428,0.61844427,0.076502606,0.156320523,0.215192515,0.433681889,0.13762859,0.067388957,0.063114679,0.036907466,0.151590495,0.221999603
A_19_P00315753,1.87171996,0.753122003,1.542043112,2.382057436,1.203843806,0.610657044,1.81333195,2.736683888,1.793635702,2.271422528,3.338118338,2.442228181
A_19_P00315764,1.163820634,4.307728724,1.531669628,1.364326348,2.52390586,7.93037232,1.38450372,1.221091492,1.96741289,0.852447494,1.313409022,2.162716407
A_19_P00315773,0.098048319,0.279111757,0.175195449,0.179654179,0.202067065,0.458377584,0.055379184,0.049609688,0.233551303,0.076808352,0.051839442,0.073490241
A_19_P00315780,1.50235616,0.254579631,1.316384277,1.581391746,0.190981977,0.442045445,1.262235321,1.702916575,1.525917369,1.043955946,1.574247231,1.224581896
A_19_P00315804,1.417744677,1.650072484,1.868628077,1.376302693,2.165571791,1.683269876,1.473781961,1.876199317,1.835135894,1.224974146,1.665903416,1.484606674
A_19_P00315810,0.645134752,2.660606401,0.403050719,0.567393186,0.996694178,4.801248473,0.849459158,0.290317612,0.68619853,0.473434124,0.468463386,0.899370065
A_19_P00315824,11.14261542,6.559391566,13.5761396,11.29091735,10.1898238,11.21140048,35.02982802,31.04420324,32.34669257,19.96232285,46.12738813,27.92930174
A_19_P00315841,0.060863934,0.244882571,0.141178911,0.058523222,0.223507198,0.65223913,0.047184682,0.051571614,0.109117545,0.038526021,0.094788444,0.061644701
A_19_P00315843,0.657108997,1.902188211,0.83984343,0.673680834,0.60924282,2.424691666,0.67749558,0.719983276,1.017998796,0.581402024,0.881138085,0.98215646
A_19_P00315863,0.059225501,0.246146478,0.073375971,0.058344724,0.25118242,0.420029715,0.044386557,0.039526034,0.055346926,0.035565839,0.041042317,0.057942611
A_19_P00315868,0.059756121,0.248453023,0.074067528,0.058938874,0.179148777,0.421362521,0.044970321,0.058407907,0.056049041,0.036070869,0.04166667,0.058900161
A_19_P00315869,0.069468464,0.288749069,0.085504994,0.068115352,0.205246909,0.484835418,0.175241114,0.308246304,0.062206278,0.040025937,0.236968631,0.115581468
A_19_P00315905,0.124996673,0.265790897,0.09969351,0.188759008,0.18993957,0.627699972,0.088590432,0.173329894,0.086879686,0.040285571,0.12835476,0.064524506
A_19_P00315922,0.070460865,0.291703641,0.086896074,0.069058959,0.209267735,0.501765923,0.052191606,0.046502803,0.06518883,0.0545637,0.0475873,0.067353657
A_19_P00315936,0.194234637,0.432971689,0.188592081,0.146372496,0.214479133,0.456818632,0.372254398,0.303897413,0.368920663,0.182203162,0.142171924,0.429210983
A_19_P00315941,0.809000467,3.157062233,0.906680065,1.258112698,2.027085302,1.862785039,0.30587835,0.598104941,1.011524308,0.417193909,0.817979941,0.709603952
A_19_P00315959,0.065230279,0.262229064,0.07903522,0.062148914,0.195058044,0.452852397,0.048550266,0.042965843,0.060033446,0.039363464,0.044810552,0.063039177
A_19_P00315967,0.349200178,0.619254563,0.151940355,0.185557806,0.438900616,0.947030035,0.468678818,0.261856224,0.593333382,0.364118034,0.300130991,0.563158606
A_19_P00316000,0.323404801,1.151998629,0.722112424,0.33810351,0.890212109,1.741340459,0.243836448,0.313040538,0.543995427,0.151540025,0.50796162,0.58014567
A_19_P00316007,0.067663213,0.278026056,0.082631118,0.064804787,0.202910159,0.475931946,0.056059454,0.049315354,0.069332856,0.04456251,0.05150988,0.071492648
A_19_P00316013,0.070200329,0.288242685,0.085369634,0.113213123,0.207628818,0.476026601,0.056840971,0.050465645,0.070364921,0.045291129,0.052189992,0.07327331
A_19_P00316035,0.068906123,0.283386473,0.146047341,0.079623842,0.202441995,0.472472872,0.054344751,0.049055704,0.067162661,0.05331292,0.049454342,0.073058037
A_19_P00316050,0.081315444,0.287985285,0.085240922,0.06836615,0.206151177,0.476771069,0.055718105,0.064096305,0.06915016,0.044397532,0.050971224,0.071973568
A_19_P00316107,0.222829292,0.969814671,0.310755084,0.206257288,0.565758375,1.629171814,0.296893189,0.241418928,0.287493651,0.186505128,0.213991367,0.415969744
A_19_P00316110,0.149521536,1.280172746,0.287315155,0.216289989,0.603683259,4.477611319,0.098282516,0.140732525,0.371416059,0.042666888,0.145313465,0.176243444
A_19_P00316144,0.096279189,0.258182693,0.077954256,0.061557762,0.192425913,0.448298258,0.048989487,0.043393657,0.060686861,0.039808395,0.045181407,0.063689528
A_19_P00316156,0.22879287,0.247702443,0.101106006,0.087621213,0.183445803,0.430803567,0.080204978,0.169058399,0.062121824,0.139210892,0.118161471,0.172237537
A_19_P00316164,0.056204482,0.229212972,0.068955527,0.061218521,0.168455332,0.397456617,0.045096882,0.040383299,0.056558415,0.037058328,0.042372105,0.059716176
A_19_P00316185,0.512128872,2.006129864,0.528803415,0.565629747,0.67579276,2.952301373,0.863738918,0.717432273,1.245561952,0.887908612,0.828452737,1.220230114
A_19_P00316187,0.092123645,0.406594555,0.151594992,0.206960349,0.206377515,0.821147752,0.223332931,0.078232951,0.19952436,0.045162827,0.329835022,0.073711729
A_19_P00316202,0.234155722,0.471752151,0.234552243,0.23450887,0.527063649,0.743296418,0.377452001,0.280810872,0.446129391,0.394235418,0.281492775,0.602431023
A_19_P00316219,0.274118043,0.545459808,0.38977093,0.399208875,0.213958203,0.365315735,0.267238635,0.453810627,0.296265718,0.406674321,0.323386263,0.333473633
A_19_P00316225,0.063979104,0.266566465,0.078742155,0.098890312,0.189651738,0.443610279,0.593669993,0.210428585,0.133146499,0.037782223,0.043453103,0.15000917
