Time,Replicate,E-cadherin,N-cadherin,EMT_Score
0,Replicate_1,14.51,36.79,0.7171539961013645
0,Replicate_2,27.56,16.51,0.3746312684365782
6,Replicate_1,5.36,29.12,0.8445475638051043
6,Replicate_2,12.46,19.23,0.606816030293468
12,Replicate_1,4.28,90.23,0.9547137869008571
12,Replicate_2,5.47,35.99,0.8680656054027979
24,Replicate_1,1.08,89.54,0.988082101081439
24,Replicate_2,2.72,52.3,0.950563431479462
36,Replicate_1,1.02,109.54,0.9907742402315485
36,Replicate_2,2.85,49.97,0.9460431654676259
48,Replicate_1,0.73,65.56,0.9889877809624377
48,Replicate_2,3.38,48.62,0.9349999999999999
72,Replicate_1,0.76,123.36,0.9938768933290364
72,Replicate_2,2.26,64.5,0.9661473936488915
96,Replicate_1,0.44,141.56,0.9969014084507043
96,Replicate_2,3.24,51.58,0.9408974826705582
